RegionID,B,G,R,hex_color
1,144,144,112,#709090
2,144,144,144,#909090
3,144,240,208,#d0f090
4,112,176,176,#b0b070
5,112,208,176,#b0d070
6,80,208,176,#b0d050
7,80,176,176,#b0b050
8,80,208,176,#b0d050
9,112,240,208,#d0f070
10,112,240,208,#d0f070
11,80,208,176,#b0d050
12,112,240,208,#d0f070
13,112,240,208,#d0f070
14,80,144,144,#909050
15,80,176,176,#b0b050
16,80,208,176,#b0d050
17,80,208,176,#b0d050
18,16,112,112,#707010
19,112,208,208,#d0d070
20,80,176,176,#b0b050
21,80,176,144,#90b050
22,112,176,176,#b0b070
23,112,208,176,#b0d070
24,144,240,208,#d0f090
25,112,208,176,#b0d070
26,80,176,144,#90b050
27,112,208,176,#b0d070
28,112,208,208,#d0d070
29,112,208,176,#b0d070
30,176,240,208,#d0f0b0
31,80,112,80,#507050
32,112,176,144,#90b070
33,112,112,112,#707070
34,144,240,240,#f0f090
35,144,240,208,#d0f090
36,80,208,176,#b0d050
37,80,208,176,#b0d050
38,112,240,208,#d0f070
39,112,176,176,#b0b070
40,112,208,176,#b0d070
41,144,208,176,#b0d090
42,144,240,208,#d0f090
43,80,112,112,#707050
44,144,240,240,#f0f090
45,144,208,176,#b0d090
46,112,240,208,#d0f070
47,80,144,144,#909050
48,112,208,176,#b0d070
49,112,208,208,#d0d070
50,80,176,144,#90b050
51,112,208,176,#b0d070
52,112,208,176,#b0d070
53,80,208,176,#b0d050
54,144,240,208,#d0f090
55,144,208,208,#d0d090
56,144,208,208,#d0d090
57,112,208,176,#b0d070
58,144,240,208,#d0f090
59,144,144,144,#909090
60,144,240,208,#d0f090
61,80,208,176,#b0d050
62,112,208,208,#d0d070
63,80,208,176,#b0d050
64,144,208,208,#d0d090
65,144,240,208,#d0f090
66,80,176,176,#b0b050
67,144,240,240,#f0f090
68,112,208,176,#b0d070
69,112,208,176,#b0d070
70,80,144,144,#909050
71,80,176,144,#90b050
72,112,208,176,#b0d070
73,80,112,112,#707050
74,80,208,176,#b0d050
75,80,80,80,#505050
76,80,176,144,#90b050
77,112,208,176,#b0d070
78,112,112,80,#507070
79,48,80,48,#305030
80,112,176,176,#b0b070
81,112,144,144,#909070
82,112,208,176,#b0d070
83,112,208,176,#b0d070
84,112,144,112,#709070
85,112,208,176,#b0d070
86,176,240,240,#f0f0b0
87,144,208,208,#d0d090
88,112,240,208,#d0f070
89,112,176,144,#90b070
90,80,208,176,#b0d050
91,112,208,176,#b0d070
92,80,144,144,#909050
93,144,240,208,#d0f090
94,112,240,208,#d0f070
95,112,176,176,#b0b070
96,144,240,208,#d0f090
97,112,112,80,#507070
98,112,208,176,#b0d070
99,112,208,208,#d0d070
100,112,208,208,#d0d070
101,80,112,112,#707050
102,80,144,144,#909050
103,112,208,176,#b0d070
104,16,48,80,#503010
105,80,80,80,#505050
106,112,240,208,#d0f070
107,112,144,112,#709070
108,112,144,112,#709070
109,144,240,208,#d0f090
110,144,240,240,#f0f090
111,112,240,208,#d0f070
112,80,112,112,#707050
113,144,240,208,#d0f090
114,144,240,208,#d0f090
115,80,144,112,#709050
116,80,176,144,#90b050
117,144,240,208,#d0f090
118,112,208,176,#b0d070
119,112,240,208,#d0f070
120,48,144,112,#709030
121,144,208,208,#d0d090
122,144,208,208,#d0d090
123,112,208,176,#b0d070
124,112,144,112,#709070
125,80,208,208,#d0d050
126,80,176,176,#b0b050
127,112,240,208,#d0f070
128,112,208,208,#d0d070
129,144,208,208,#d0d090
130,80,80,80,#505050
131,48,80,48,#305030
132,48,80,48,#305030
133,112,176,176,#b0b070
134,80,144,144,#909050
135,176,240,240,#f0f0b0
136,112,240,208,#d0f070
137,144,240,240,#f0f090
138,48,80,80,#505030
139,144,240,208,#d0f090
140,144,240,208,#d0f090
141,112,208,176,#b0d070
142,80,144,144,#909050
143,112,208,176,#b0d070
144,80,144,144,#909050
145,112,208,176,#b0d070
146,80,240,208,#d0f050
147,16,48,48,#303010
148,144,208,208,#d0d090
149,144,144,176,#b09090
150,144,208,176,#b0d090
151,112,240,208,#d0f070
152,80,176,144,#90b050
153,80,208,176,#b0d050
154,112,208,176,#b0d070
155,112,208,176,#b0d070
156,144,240,208,#d0f090
157,80,144,144,#909050
158,144,240,240,#f0f090
159,144,240,208,#d0f090
160,80,112,80,#507050
161,80,176,144,#90b050
162,112,208,176,#b0d070
163,112,208,208,#d0d070
164,112,208,176,#b0d070
165,112,208,176,#b0d070
166,112,240,208,#d0f070
167,112,208,176,#b0d070
168,80,240,208,#d0f050
169,112,240,208,#d0f070
170,144,240,208,#d0f090
171,80,208,176,#b0d050
172,144,240,208,#d0f090
173,112,176,176,#b0b070
174,144,240,240,#f0f090
175,48,48,48,#303030
176,112,176,176,#b0b070
177,144,208,208,#d0d090
178,80,208,176,#b0d050
179,144,240,240,#f0f090
180,144,208,208,#d0d090
181,144,208,208,#d0d090
182,112,208,176,#b0d070
183,48,112,80,#507030
184,80,208,176,#b0d050
185,112,208,176,#b0d070
186,80,176,144,#90b050
187,80,208,176,#b0d050
188,176,240,208,#d0f0b0
189,80,240,208,#d0f050
190,144,240,208,#d0f090
191,176,240,240,#f0f0b0
192,80,176,176,#b0b050
193,80,208,208,#d0d050
194,144,240,208,#d0f090
195,112,240,208,#d0f070
196,80,208,176,#b0d050
197,80,208,176,#b0d050
198,112,208,208,#d0d070
199,48,80,80,#505030
200,80,208,176,#b0d050
201,80,176,144,#90b050
202,112,176,176,#b0b070
203,80,176,144,#90b050
204,112,208,208,#d0d070
205,112,208,176,#b0d070
206,176,240,240,#f0f0b0
207,240,240,240,#f0f0f0
208,80,176,176,#b0b050
209,144,240,208,#d0f090
210,48,80,80,#505030
211,48,176,176,#b0b030
212,80,208,208,#d0d050
213,112,208,176,#b0d070
214,112,176,144,#90b070
215,48,80,80,#505030
216,112,208,208,#d0d070
217,144,208,176,#b0d090
218,80,208,176,#b0d050
219,48,80,80,#505030
220,48,48,48,#303030
221,48,176,144,#90b030
222,80,176,144,#90b050
223,144,240,208,#d0f090
224,112,208,176,#b0d070
225,112,240,208,#d0f070
226,80,144,144,#909050
227,240,240,240,#f0f0f0
228,144,208,208,#d0d090
229,240,240,240,#f0f0f0
230,112,176,176,#b0b070
231,48,176,144,#90b030
232,80,144,112,#709050
233,112,176,176,#b0b070
234,80,176,176,#b0b050
235,48,80,80,#505030
236,240,208,240,#f0d0f0
237,48,80,80,#505030
238,112,208,208,#d0d070
239,112,176,176,#b0b070
240,48,176,144,#90b030
241,112,208,176,#b0d070
242,80,208,176,#b0d050
243,112,240,208,#d0f070
244,48,48,48,#303030
245,48,80,48,#305030
246,80,176,176,#b0b050
247,48,80,80,#505030
248,240,240,240,#f0f0f0
249,112,176,144,#90b070
250,80,144,144,#909050
251,80,208,176,#b0d050
252,80,176,144,#90b050
253,48,208,208,#d0d030
254,112,240,208,#d0f070
255,80,80,80,#505050
256,80,144,144,#909050
257,48,80,80,#505030
258,16,48,48,#303010
259,240,208,240,#f0d0f0
260,80,208,176,#b0d050
261,112,240,208,#d0f070
262,240,208,240,#f0d0f0
263,80,208,176,#b0d050
264,80,144,112,#709050
265,48,208,176,#b0d030
266,48,112,80,#507030
267,112,176,144,#90b070
268,112,208,176,#b0d070
269,48,208,176,#b0d030
270,112,240,208,#d0f070
271,80,144,144,#909050
272,240,176,240,#f0b0f0
273,80,144,144,#909050
274,48,144,144,#909030
275,48,176,144,#90b030
276,144,208,208,#d0d090
277,80,208,176,#b0d050
278,112,208,176,#b0d070
279,112,240,240,#f0f070
280,80,144,144,#909050
281,112,240,208,#d0f070
282,48,176,144,#90b030
283,144,240,240,#f0f090
284,80,208,176,#b0d050
285,240,208,240,#f0d0f0
286,80,176,176,#b0b050
287,48,176,176,#b0b030
288,80,208,176,#b0d050
289,80,208,176,#b0d050
290,80,208,176,#b0d050
291,112,208,208,#d0d070
292,80,240,208,#d0f050
293,240,240,240,#f0f0f0
294,80,208,176,#b0d050
295,80,208,176,#b0d050
296,48,112,112,#707030
297,112,208,176,#b0d070
298,240,240,240,#f0f0f0
299,80,208,176,#b0d050
300,112,240,208,#d0f070
301,240,144,240,#f090f0
302,80,176,176,#b0b050
303,112,240,208,#d0f070
304,80,176,144,#90b050
305,80,240,208,#d0f050
306,80,176,144,#90b050
307,80,176,144,#90b050
308,80,176,144,#90b050
309,48,144,112,#709030
310,80,176,144,#90b050
311,112,240,208,#d0f070
312,240,240,240,#f0f0f0
313,80,176,144,#90b050
314,112,240,208,#d0f070
315,112,208,176,#b0d070
316,80,208,176,#b0d050
317,240,208,240,#f0d0f0
318,144,208,176,#b0d090
319,144,240,208,#d0f090
320,80,176,144,#90b050
321,80,176,144,#90b050
322,48,144,144,#909030
323,240,208,240,#f0d0f0
324,112,240,176,#b0f070
325,208,240,240,#f0f0d0
326,48,144,112,#709030
327,208,208,240,#f0d0d0
328,112,208,176,#b0d070
